strategy,market_ticker,close_time,side,strike,spot_at_open,hours_to_expiry,market_implied_prob,fair_prob,edge,position_size,won,gross_pnl,kalshi_fee,net_pnl,cum_pnl
A,KXBTC-26APR1105-B72850,2026-04-11T09:00:00+00:00,below,72850.0,72953.25,168.0,0.05,0.5532,0.5032,50.0,False,-50.0,0.0,-50.0,-50.0
B,KXBTC-26APR1105-B72850,2026-04-11T09:00:00+00:00,below,72850.0,72953.25,168.0,0.05,0.4718,0.4218,50.0,False,-50.0,0.0,-50.0,-50.0
AB,KXBTC-26APR1105-B72850,2026-04-11T09:00:00+00:00,below,72850.0,72953.25,168.0,0.05,0.4921,0.4421,50.0,False,-50.0,0.0,-50.0,-50.0
A,KXBTC-26APR1121-B72850,2026-04-12T01:00:00+00:00,below,72850.0,71676.55,168.0,0.05,0.5872,0.5372,50.0,False,-50.0,0.0,-50.0,-100.0
B,KXBTC-26APR1121-B72850,2026-04-12T01:00:00+00:00,below,72850.0,71676.55,168.0,0.05,0.5872,0.5372,50.0,False,-50.0,0.0,-50.0,-100.0
AB,KXBTC-26APR1121-B72850,2026-04-12T01:00:00+00:00,below,72850.0,71676.55,168.0,0.05,0.5872,0.5372,50.0,False,-50.0,0.0,-50.0,-100.0
A,KXBTC-26APR1319-B74450,2026-04-13T23:00:00+00:00,below,74450.0,74446.0,168.0,0.05,0.5854,0.5354,50.0,False,-50.0,0.0,-50.0,-150.0
B,KXBTC-26APR1319-B74450,2026-04-13T23:00:00+00:00,below,74450.0,74446.0,168.0,0.05,0.5854,0.5354,50.0,False,-50.0,0.0,-50.0,-150.0
AB,KXBTC-26APR1319-B74450,2026-04-13T23:00:00+00:00,below,74450.0,74446.0,168.0,0.05,0.5854,0.5354,50.0,False,-50.0,0.0,-50.0,-150.0
A,KXBTC-26APR1223-B71250,2026-04-13T03:00:00+00:00,below,71250.0,70998.24,168.0,0.05,0.56,0.51,50.0,False,-50.0,0.0,-50.0,-200.0
B,KXBTC-26APR1223-B71250,2026-04-13T03:00:00+00:00,below,71250.0,70998.24,168.0,0.05,0.5189,0.4689,50.0,False,-50.0,0.0,-50.0,-200.0
AB,KXBTC-26APR1223-B71250,2026-04-13T03:00:00+00:00,below,71250.0,70998.24,168.0,0.05,0.5291,0.4791,50.0,False,-50.0,0.0,-50.0,-200.0
A,KXBTC-26APR1405-B74350,2026-04-14T09:00:00+00:00,below,74350.0,74546.65,168.0,0.07,0.5519,0.4819,50.0,False,-50.0,0.0,-50.0,-250.0
B,KXBTC-26APR1405-B74350,2026-04-14T09:00:00+00:00,below,74350.0,74546.65,168.0,0.07,0.4698,0.3998,50.0,False,-50.0,0.0,-50.0,-250.0
AB,KXBTC-26APR1405-B74350,2026-04-14T09:00:00+00:00,below,74350.0,74546.65,168.0,0.07,0.4903,0.4203,50.0,False,-50.0,0.0,-50.0,-250.0
A,KXBTC-26APR1405-B72850,2026-04-14T09:00:00+00:00,below,72850.0,74546.65,168.0,0.19,0.523,0.333,50.0,False,-50.0,0.0,-50.0,-300.0
B,KXBTC-26APR1405-B72850,2026-04-14T09:00:00+00:00,below,72850.0,74546.65,168.0,0.19,0.3869,0.1969,50.0,False,-50.0,0.0,-50.0,-300.0
AB,KXBTC-26APR1405-B72850,2026-04-14T09:00:00+00:00,below,72850.0,74546.65,168.0,0.19,0.4209,0.2309,50.0,False,-50.0,0.0,-50.0,-300.0
A,KXBTC-26APR1404-B73350,2026-04-14T08:00:00+00:00,below,73350.0,74800.25,168.0,0.86,0.5612,-0.2988,50.0,True,307.1429,21.5,285.6429,-14.3571
B,KXBTC-26APR1404-B73350,2026-04-14T08:00:00+00:00,below,73350.0,74800.25,168.0,0.86,0.5612,-0.2988,50.0,True,307.1429,21.5,285.6429,-14.3571
AB,KXBTC-26APR1404-B73350,2026-04-14T08:00:00+00:00,below,73350.0,74800.25,168.0,0.86,0.5612,-0.2988,50.0,True,307.1429,21.5,285.6429,-14.3571
A,KXBTC-26APR1508-B74550,2026-04-15T12:00:00+00:00,below,74550.0,74302.48,168.0,0.14,0.5606,0.4206,50.0,False,-50.0,0.0,-50.0,-64.3571
B,KXBTC-26APR1508-B74550,2026-04-15T12:00:00+00:00,below,74550.0,74302.48,168.0,0.14,0.5152,0.3752,50.0,False,-50.0,0.0,-50.0,-64.3571
AB,KXBTC-26APR1508-B74550,2026-04-15T12:00:00+00:00,below,74550.0,74302.48,168.0,0.14,0.5265,0.3865,50.0,False,-50.0,0.0,-50.0,-64.3571
A,KXBTC-26APR1504-B74550,2026-04-15T08:00:00+00:00,below,74550.0,74139.99,168.0,0.79,0.5762,-0.2138,50.0,True,188.0952,13.1667,174.9286,110.5715
B,KXBTC-26APR1504-B74550,2026-04-15T08:00:00+00:00,below,74550.0,74139.99,168.0,0.79,0.5762,-0.2138,50.0,True,188.0952,13.1667,174.9286,110.5715
AB,KXBTC-26APR1504-B74550,2026-04-15T08:00:00+00:00,below,74550.0,74139.99,168.0,0.79,0.5762,-0.2138,50.0,True,188.0952,13.1667,174.9286,110.5715
A,KXBTC-26APR1502-B75050,2026-04-15T06:00:00+00:00,below,75050.0,73924.0,168.0,0.09,0.5859,0.4959,50.0,False,-50.0,0.0,-50.0,60.5715
B,KXBTC-26APR1502-B75050,2026-04-15T06:00:00+00:00,below,75050.0,73924.0,168.0,0.09,0.5859,0.4959,50.0,False,-50.0,0.0,-50.0,60.5715
AB,KXBTC-26APR1502-B75050,2026-04-15T06:00:00+00:00,below,75050.0,73924.0,168.0,0.09,0.5859,0.4959,50.0,False,-50.0,0.0,-50.0,60.5715
A,KXBTC-26APR1523-B74650,2026-04-16T03:00:00+00:00,below,74650.0,74901.17,168.0,0.05,0.5502,0.5002,50.0,False,-50.0,0.0,-50.0,10.5715
B,KXBTC-26APR1523-B74650,2026-04-16T03:00:00+00:00,below,74650.0,74901.17,168.0,0.05,0.4816,0.4316,50.0,False,-50.0,0.0,-50.0,10.5715
AB,KXBTC-26APR1523-B74650,2026-04-16T03:00:00+00:00,below,74650.0,74901.17,168.0,0.05,0.4987,0.4487,50.0,False,-50.0,0.0,-50.0,10.5715
A,KXBTC-26APR1611-B73750,2026-04-16T15:00:00+00:00,below,73750.0,74720.99,168.0,0.14,0.5358,0.3958,50.0,False,-50.0,0.0,-50.0,-39.4285
B,KXBTC-26APR1611-B73750,2026-04-16T15:00:00+00:00,below,73750.0,74720.99,168.0,0.14,0.4359,0.2959,50.0,False,-50.0,0.0,-50.0,-39.4285
AB,KXBTC-26APR1611-B73750,2026-04-16T15:00:00+00:00,below,73750.0,74720.99,168.0,0.14,0.4609,0.3209,50.0,False,-50.0,0.0,-50.0,-39.4285
A,KXBTC-26APR1521-B75250,2026-04-16T01:00:00+00:00,below,75250.0,74681.46,168.0,0.05,0.5597,0.5097,50.0,False,-50.0,0.0,-50.0,-89.4285
B,KXBTC-26APR1521-B75250,2026-04-16T01:00:00+00:00,below,75250.0,74681.46,168.0,0.05,0.5597,0.5097,50.0,False,-50.0,0.0,-50.0,-89.4285
AB,KXBTC-26APR1521-B75250,2026-04-16T01:00:00+00:00,below,75250.0,74681.46,168.0,0.05,0.5597,0.5097,50.0,False,-50.0,0.0,-50.0,-89.4285
A,KXBTC-26APR1601-B75450,2026-04-16T05:00:00+00:00,below,75450.0,75060.65,168.0,0.05,0.5624,0.5124,50.0,False,-50.0,0.0,-50.0,-139.4285
B,KXBTC-26APR1601-B75450,2026-04-16T05:00:00+00:00,below,75450.0,75060.65,168.0,0.05,0.5147,0.4647,50.0,False,-50.0,0.0,-50.0,-139.4285
AB,KXBTC-26APR1601-B75450,2026-04-16T05:00:00+00:00,below,75450.0,75060.65,168.0,0.05,0.5266,0.4766,50.0,False,-50.0,0.0,-50.0,-139.4285
A,KXBTC-26APR1712-B78050,2026-04-17T16:00:00+00:00,below,78050.0,77907.27,168.0,0.05,0.5574,0.5074,50.0,False,-50.0,0.0,-50.0,-189.4285
