strategy,market_ticker,close_time,side,strike,spot_at_open,hours_to_expiry,market_implied_prob,fair_prob,edge,position_size,won,gross_pnl,kalshi_fee,net_pnl,cum_pnl
AB,KXBTC-26APR0809-T59200,2026-04-08T13:00:00+00:00,above,59200.0,71602.39,168.0,0.01,0.795,0.785,50.0,False,-50.0,0.0,-50.0,-500.0
A,KXBTC-26APR0810-T77799.99,2026-04-08T14:00:00+00:00,above,77799.99,70901.42,168.0,0.01,0.3321,0.3221,50.0,False,-50.0,0.0,-50.0,-550.0
B,KXBTC-26APR0810-T77799.99,2026-04-08T14:00:00+00:00,above,77799.99,70901.42,168.0,0.01,0.3321,0.3221,50.0,False,-50.0,0.0,-50.0,-550.0
AB,KXBTC-26APR0810-T77799.99,2026-04-08T14:00:00+00:00,above,77799.99,70901.42,168.0,0.01,0.3321,0.3221,50.0,False,-50.0,0.0,-50.0,-550.0
A,KXBTC-26APR0722-T78299.99,2026-04-08T02:00:00+00:00,above,78299.99,71355.75,168.0,0.01,0.3189,0.3089,50.0,False,-50.0,0.0,-50.0,-600.0
B,KXBTC-26APR0722-T78299.99,2026-04-08T02:00:00+00:00,above,78299.99,71355.75,168.0,0.01,0.2381,0.2281,50.0,False,-50.0,0.0,-50.0,-600.0
AB,KXBTC-26APR0722-T78299.99,2026-04-08T02:00:00+00:00,above,78299.99,71355.75,168.0,0.01,0.2583,0.2483,50.0,False,-50.0,0.0,-50.0,-600.0
A,KXBTC-26APR0722-T59700,2026-04-08T02:00:00+00:00,above,59700.0,71355.75,168.0,0.01,0.689,0.679,50.0,False,-50.0,0.0,-50.0,-650.0
B,KXBTC-26APR0722-T59700,2026-04-08T02:00:00+00:00,above,59700.0,71355.75,168.0,0.01,0.8238,0.8138,50.0,False,-50.0,0.0,-50.0,-650.0
AB,KXBTC-26APR0722-T59700,2026-04-08T02:00:00+00:00,above,59700.0,71355.75,168.0,0.01,0.7901,0.7801,50.0,False,-50.0,0.0,-50.0,-650.0
A,KXBTC-26APR0800-T78299.99,2026-04-08T04:00:00+00:00,above,78299.99,71556.55,168.0,0.01,0.3225,0.3125,50.0,False,-50.0,0.0,-50.0,-700.0
B,KXBTC-26APR0800-T78299.99,2026-04-08T04:00:00+00:00,above,78299.99,71556.55,168.0,0.01,0.241,0.231,50.0,False,-50.0,0.0,-50.0,-700.0
AB,KXBTC-26APR0800-T78299.99,2026-04-08T04:00:00+00:00,above,78299.99,71556.55,168.0,0.01,0.2614,0.2514,50.0,False,-50.0,0.0,-50.0,-700.0
A,KXBTC-26APR0720-T59700,2026-04-08T00:00:00+00:00,above,59700.0,71699.91,168.0,0.01,0.552,0.542,50.0,False,-50.0,0.0,-50.0,-750.0
B,KXBTC-26APR0720-T59700,2026-04-08T00:00:00+00:00,above,59700.0,71699.91,168.0,0.01,0.552,0.542,50.0,False,-50.0,0.0,-50.0,-750.0
AB,KXBTC-26APR0720-T59700,2026-04-08T00:00:00+00:00,above,59700.0,71699.91,168.0,0.01,0.552,0.542,50.0,False,-50.0,0.0,-50.0,-750.0
A,KXBTC-26APR0808-T77799.99,2026-04-08T12:00:00+00:00,above,77799.99,72077.79,168.0,0.01,0.3401,0.3301,50.0,False,-50.0,0.0,-50.0,-800.0
B,KXBTC-26APR0808-T77799.99,2026-04-08T12:00:00+00:00,above,77799.99,72077.79,168.0,0.01,0.2667,0.2567,50.0,False,-50.0,0.0,-50.0,-800.0
AB,KXBTC-26APR0808-T77799.99,2026-04-08T12:00:00+00:00,above,77799.99,72077.79,168.0,0.01,0.2851,0.2751,50.0,False,-50.0,0.0,-50.0,-800.0
A,KXBTC-26APR0723-T78299.99,2026-04-08T03:00:00+00:00,above,78299.99,71286.0,168.0,0.01,0.3177,0.3077,50.0,False,-50.0,0.0,-50.0,-850.0
B,KXBTC-26APR0723-T78299.99,2026-04-08T03:00:00+00:00,above,78299.99,71286.0,168.0,0.01,0.2379,0.2279,50.0,False,-50.0,0.0,-50.0,-850.0
AB,KXBTC-26APR0723-T78299.99,2026-04-08T03:00:00+00:00,above,78299.99,71286.0,168.0,0.01,0.2578,0.2478,50.0,False,-50.0,0.0,-50.0,-850.0
A,KXBTC-26APR0801-T59200,2026-04-08T05:00:00+00:00,above,59200.0,71730.91,168.0,0.01,0.7059,0.6959,50.0,False,-50.0,0.0,-50.0,-900.0
B,KXBTC-26APR0801-T59200,2026-04-08T05:00:00+00:00,above,59200.0,71730.91,168.0,0.01,0.8259,0.8159,50.0,False,-50.0,0.0,-50.0,-900.0
AB,KXBTC-26APR0801-T59200,2026-04-08T05:00:00+00:00,above,59200.0,71730.91,168.0,0.01,0.7959,0.7859,50.0,False,-50.0,0.0,-50.0,-900.0
A,KXBTC-26APR0819-T59200,2026-04-08T23:00:00+00:00,above,59200.0,71085.99,168.0,0.01,0.6452,0.6352,50.0,False,-50.0,0.0,-50.0,-950.0
B,KXBTC-26APR0819-T59200,2026-04-08T23:00:00+00:00,above,59200.0,71085.99,168.0,0.01,0.6452,0.6352,50.0,False,-50.0,0.0,-50.0,-950.0
AB,KXBTC-26APR0819-T59200,2026-04-08T23:00:00+00:00,above,59200.0,71085.99,168.0,0.01,0.6452,0.6352,50.0,False,-50.0,0.0,-50.0,-950.0
A,KXBTC-26APR0811-T77799.99,2026-04-08T15:00:00+00:00,above,77799.99,71309.99,168.0,0.01,0.3263,0.3163,50.0,False,-50.0,0.0,-50.0,-1000.0
B,KXBTC-26APR0811-T77799.99,2026-04-08T15:00:00+00:00,above,77799.99,71309.99,168.0,0.01,0.2396,0.2296,50.0,False,-50.0,0.0,-50.0,-1000.0
AB,KXBTC-26APR0811-T77799.99,2026-04-08T15:00:00+00:00,above,77799.99,71309.99,168.0,0.01,0.2613,0.2513,50.0,False,-50.0,0.0,-50.0,-1000.0
A,KXBTC-26APR0818-T77799.99,2026-04-08T22:00:00+00:00,above,77799.99,71068.09,168.0,0.01,0.3323,0.3223,50.0,False,-50.0,0.0,-50.0,-1050.0
B,KXBTC-26APR0818-T77799.99,2026-04-08T22:00:00+00:00,above,77799.99,71068.09,168.0,0.01,0.3323,0.3223,50.0,False,-50.0,0.0,-50.0,-1050.0
AB,KXBTC-26APR0818-T77799.99,2026-04-08T22:00:00+00:00,above,77799.99,71068.09,168.0,0.01,0.3323,0.3223,50.0,False,-50.0,0.0,-50.0,-1050.0
A,KXBTC-26APR0817-T78249.99,2026-04-08T21:00:00+00:00,above,78249.99,71562.97,168.0,0.01,0.3234,0.3134,50.0,False,-50.0,0.0,-50.0,-1100.0
B,KXBTC-26APR0817-T78249.99,2026-04-08T21:00:00+00:00,above,78249.99,71562.97,168.0,0.01,0.2392,0.2292,50.0,False,-50.0,0.0,-50.0,-1100.0
AB,KXBTC-26APR0817-T78249.99,2026-04-08T21:00:00+00:00,above,78249.99,71562.97,168.0,0.01,0.2603,0.2503,50.0,False,-50.0,0.0,-50.0,-1100.0
A,KXBTC-26APR0812-T59200,2026-04-08T16:00:00+00:00,above,59200.0,71608.27,168.0,0.01,0.7038,0.6938,50.0,False,-50.0,0.0,-50.0,-1150.0
B,KXBTC-26APR0812-T59200,2026-04-08T16:00:00+00:00,above,59200.0,71608.27,168.0,0.01,0.8253,0.8153,50.0,False,-50.0,0.0,-50.0,-1150.0
AB,KXBTC-26APR0812-T59200,2026-04-08T16:00:00+00:00,above,59200.0,71608.27,168.0,0.01,0.7949,0.7849,50.0,False,-50.0,0.0,-50.0,-1150.0
A,KXBTC-26APR0807-T59200,2026-04-08T11:00:00+00:00,above,59200.0,71690.4,168.0,0.01,0.7052,0.6952,50.0,False,-50.0,0.0,-50.0,-1200.0
B,KXBTC-26APR0807-T59200,2026-04-08T11:00:00+00:00,above,59200.0,71690.4,168.0,0.01,0.826,0.816,50.0,False,-50.0,0.0,-50.0,-1200.0
AB,KXBTC-26APR0807-T59200,2026-04-08T11:00:00+00:00,above,59200.0,71690.4,168.0,0.01,0.7958,0.7858,50.0,False,-50.0,0.0,-50.0,-1200.0
A,KXBTC-26APR0804-T77799.99,2026-04-08T08:00:00+00:00,above,77799.99,71800.02,168.0,0.01,0.343,0.333,50.0,False,-50.0,0.0,-50.0,-1250.0
B,KXBTC-26APR0804-T77799.99,2026-04-08T08:00:00+00:00,above,77799.99,71800.02,168.0,0.01,0.343,0.333,50.0,False,-50.0,0.0,-50.0,-1250.0
AB,KXBTC-26APR0804-T77799.99,2026-04-08T08:00:00+00:00,above,77799.99,71800.02,168.0,0.01,0.343,0.333,50.0,False,-50.0,0.0,-50.0,-1250.0
A,KXBTC-26APR0818-T59200,2026-04-08T22:00:00+00:00,above,59200.0,71068.09,168.0,0.01,0.6358,0.6258,50.0,False,-50.0,0.0,-50.0,-1300.0
B,KXBTC-26APR0818-T59200,2026-04-08T22:00:00+00:00,above,59200.0,71068.09,168.0,0.01,0.6358,0.6258,50.0,False,-50.0,0.0,-50.0,-1300.0
AB,KXBTC-26APR0818-T59200,2026-04-08T22:00:00+00:00,above,59200.0,71068.09,168.0,0.01,0.6358,0.6258,50.0,False,-50.0,0.0,-50.0,-1300.0
A,KXBTC-26APR0805-T77799.99,2026-04-08T09:00:00+00:00,above,77799.99,71674.21,168.0,0.01,0.3328,0.3228,50.0,False,-50.0,0.0,-50.0,-1350.0
B,KXBTC-26APR0805-T77799.99,2026-04-08T09:00:00+00:00,above,77799.99,71674.21,168.0,0.01,0.2559,0.2459,50.0,False,-50.0,0.0,-50.0,-1350.0
AB,KXBTC-26APR0805-T77799.99,2026-04-08T09:00:00+00:00,above,77799.99,71674.21,168.0,0.01,0.2751,0.2651,50.0,False,-50.0,0.0,-50.0,-1350.0
A,KXBTC-26APR0808-T59200,2026-04-08T12:00:00+00:00,above,59200.0,72077.79,168.0,0.01,0.7118,0.7018,50.0,False,-50.0,0.0,-50.0,-1400.0
B,KXBTC-26APR0808-T59200,2026-04-08T12:00:00+00:00,above,59200.0,72077.79,168.0,0.01,0.8264,0.8164,50.0,False,-50.0,0.0,-50.0,-1400.0
AB,KXBTC-26APR0808-T59200,2026-04-08T12:00:00+00:00,above,59200.0,72077.79,168.0,0.01,0.7977,0.7877,50.0,False,-50.0,0.0,-50.0,-1400.0
A,KXBTC-26APR0800-T59700,2026-04-08T04:00:00+00:00,above,59700.0,71556.55,168.0,0.01,0.6925,0.6825,50.0,False,-50.0,0.0,-50.0,-1450.0
B,KXBTC-26APR0800-T59700,2026-04-08T04:00:00+00:00,above,59700.0,71556.55,168.0,0.01,0.8243,0.8143,50.0,False,-50.0,0.0,-50.0,-1450.0
AB,KXBTC-26APR0800-T59700,2026-04-08T04:00:00+00:00,above,59700.0,71556.55,168.0,0.01,0.7914,0.7814,50.0,False,-50.0,0.0,-50.0,-1450.0
A,KXBTC-26APR0815-T59200,2026-04-08T19:00:00+00:00,above,59200.0,71331.51,168.0,0.01,0.699,0.689,50.0,False,-50.0,0.0,-50.0,-1500.0
B,KXBTC-26APR0815-T59200,2026-04-08T19:00:00+00:00,above,59200.0,71331.51,168.0,0.01,0.8246,0.8146,50.0,False,-50.0,0.0,-50.0,-1500.0
AB,KXBTC-26APR0815-T59200,2026-04-08T19:00:00+00:00,above,59200.0,71331.51,168.0,0.01,0.7932,0.7832,50.0,False,-50.0,0.0,-50.0,-1500.0
A,KXBTC-26APR0814-T59200,2026-04-08T18:00:00+00:00,above,59200.0,71101.98,168.0,0.01,0.695,0.685,50.0,False,-50.0,0.0,-50.0,-1550.0
B,KXBTC-26APR0814-T59200,2026-04-08T18:00:00+00:00,above,59200.0,71101.98,168.0,0.01,0.8238,0.8138,50.0,False,-50.0,0.0,-50.0,-1550.0
AB,KXBTC-26APR0814-T59200,2026-04-08T18:00:00+00:00,above,59200.0,71101.98,168.0,0.01,0.7916,0.7816,50.0,False,-50.0,0.0,-50.0,-1550.0
A,KXBTC-26APR0721-T59700,2026-04-08T01:00:00+00:00,above,59700.0,71465.98,168.0,0.01,0.5524,0.5424,50.0,False,-50.0,0.0,-50.0,-1600.0
B,KXBTC-26APR0721-T59700,2026-04-08T01:00:00+00:00,above,59700.0,71465.98,168.0,0.01,0.5524,0.5424,50.0,False,-50.0,0.0,-50.0,-1600.0
AB,KXBTC-26APR0721-T59700,2026-04-08T01:00:00+00:00,above,59700.0,71465.98,168.0,0.01,0.5524,0.5424,50.0,False,-50.0,0.0,-50.0,-1600.0
A,KXBTC-26APR0801-T77799.99,2026-04-08T05:00:00+00:00,above,77799.99,71730.91,168.0,0.01,0.3338,0.3238,50.0,False,-50.0,0.0,-50.0,-1650.0
B,KXBTC-26APR0801-T77799.99,2026-04-08T05:00:00+00:00,above,77799.99,71730.91,168.0,0.01,0.2598,0.2498,50.0,False,-50.0,0.0,-50.0,-1650.0
AB,KXBTC-26APR0801-T77799.99,2026-04-08T05:00:00+00:00,above,77799.99,71730.91,168.0,0.01,0.2783,0.2683,50.0,False,-50.0,0.0,-50.0,-1650.0
A,KXBTC-26APR0812-T77799.99,2026-04-08T16:00:00+00:00,above,77799.99,71608.27,168.0,0.01,0.3316,0.3216,50.0,False,-50.0,0.0,-50.0,-1700.0
B,KXBTC-26APR0812-T77799.99,2026-04-08T16:00:00+00:00,above,77799.99,71608.27,168.0,0.01,0.2535,0.2435,50.0,False,-50.0,0.0,-50.0,-1700.0
AB,KXBTC-26APR0812-T77799.99,2026-04-08T16:00:00+00:00,above,77799.99,71608.27,168.0,0.01,0.273,0.263,50.0,False,-50.0,0.0,-50.0,-1700.0
A,KXBTC-26APR0803-T59200,2026-04-08T07:00:00+00:00,above,59200.0,71641.01,168.0,0.01,0.5728,0.5628,50.0,False,-50.0,0.0,-50.0,-1750.0
B,KXBTC-26APR0803-T59200,2026-04-08T07:00:00+00:00,above,59200.0,71641.01,168.0,0.01,0.5728,0.5628,50.0,False,-50.0,0.0,-50.0,-1750.0
AB,KXBTC-26APR0803-T59200,2026-04-08T07:00:00+00:00,above,59200.0,71641.01,168.0,0.01,0.5728,0.5628,50.0,False,-50.0,0.0,-50.0,-1750.0
A,KXBTC-26APR0809-T77799.99,2026-04-08T13:00:00+00:00,above,77799.99,71602.39,168.0,0.01,0.3315,0.3215,50.0,False,-50.0,0.0,-50.0,-1800.0
B,KXBTC-26APR0809-T77799.99,2026-04-08T13:00:00+00:00,above,77799.99,71602.39,168.0,0.01,0.2492,0.2392,50.0,False,-50.0,0.0,-50.0,-1800.0
AB,KXBTC-26APR0809-T77799.99,2026-04-08T13:00:00+00:00,above,77799.99,71602.39,168.0,0.01,0.2698,0.2598,50.0,False,-50.0,0.0,-50.0,-1800.0
A,KXBTC-26APR0723-T59700,2026-04-08T03:00:00+00:00,above,59700.0,71286.0,168.0,0.01,0.6878,0.6778,50.0,False,-50.0,0.0,-50.0,-1850.0
B,KXBTC-26APR0723-T59700,2026-04-08T03:00:00+00:00,above,59700.0,71286.0,168.0,0.01,0.8238,0.8138,50.0,False,-50.0,0.0,-50.0,-1850.0
AB,KXBTC-26APR0723-T59700,2026-04-08T03:00:00+00:00,above,59700.0,71286.0,168.0,0.01,0.7898,0.7798,50.0,False,-50.0,0.0,-50.0,-1850.0
A,KXBTC-26APR0803-B68150,2026-04-08T07:00:00+00:00,below,68150.0,71641.01,168.0,0.01,0.5486,0.5386,50.0,False,-50.0,0.0,-50.0,-1900.0
B,KXBTC-26APR0803-B68150,2026-04-08T07:00:00+00:00,below,68150.0,71641.01,168.0,0.01,0.5486,0.5386,50.0,False,-50.0,0.0,-50.0,-1900.0
AB,KXBTC-26APR0803-B68150,2026-04-08T07:00:00+00:00,below,68150.0,71641.01,168.0,0.01,0.5486,0.5386,50.0,False,-50.0,0.0,-50.0,-1900.0
A,KXBTC-26APR0817-B65875,2026-04-08T21:00:00+00:00,below,65875.0,71562.97,168.0,0.01,0.439,0.429,50.0,False,-50.0,0.0,-50.0,-1950.0
B,KXBTC-26APR0817-B65875,2026-04-08T21:00:00+00:00,below,65875.0,71562.97,168.0,0.01,0.2334,0.2234,50.0,False,-50.0,0.0,-50.0,-1950.0
AB,KXBTC-26APR0817-B65875,2026-04-08T21:00:00+00:00,below,65875.0,71562.97,168.0,0.01,0.2848,0.2748,50.0,False,-50.0,0.0,-50.0,-1950.0
A,KXBTC-26APR0808-B66050,2026-04-08T12:00:00+00:00,below,66050.0,72077.79,168.0,0.01,0.4327,0.4227,50.0,False,-50.0,0.0,-50.0,-2000.0
B,KXBTC-26APR0808-B66050,2026-04-08T12:00:00+00:00,below,66050.0,72077.79,168.0,0.01,0.2279,0.2179,50.0,False,-50.0,0.0,-50.0,-2000.0
AB,KXBTC-26APR0808-B66050,2026-04-08T12:00:00+00:00,below,66050.0,72077.79,168.0,0.01,0.2791,0.2691,50.0,False,-50.0,0.0,-50.0,-2000.0
A,KXBTC-26APR0800-B70850,2026-04-08T04:00:00+00:00,below,70850.0,71556.55,168.0,0.01,0.542,0.532,50.0,False,-50.0,0.0,-50.0,-2050.0
B,KXBTC-26APR0800-B70850,2026-04-08T04:00:00+00:00,below,70850.0,71556.55,168.0,0.01,0.4311,0.4211,50.0,False,-50.0,0.0,-50.0,-2050.0
AB,KXBTC-26APR0800-B70850,2026-04-08T04:00:00+00:00,below,70850.0,71556.55,168.0,0.01,0.4588,0.4488,50.0,False,-50.0,0.0,-50.0,-2050.0
A,KXBTC-26APR0806-B64650,2026-04-08T10:00:00+00:00,below,64650.0,71470.12,168.0,0.01,0.4146,0.4046,50.0,False,-50.0,0.0,-50.0,-2100.0
B,KXBTC-26APR0806-B64650,2026-04-08T10:00:00+00:00,below,64650.0,71470.12,168.0,0.01,0.2089,0.1989,50.0,False,-50.0,0.0,-50.0,-2100.0
AB,KXBTC-26APR0806-B64650,2026-04-08T10:00:00+00:00,below,64650.0,71470.12,168.0,0.01,0.2604,0.2504,50.0,False,-50.0,0.0,-50.0,-2100.0
A,KXBTC-26APR0812-B61850,2026-04-08T16:00:00+00:00,below,61850.0,71608.27,168.0,0.01,0.352,0.342,50.0,False,-50.0,0.0,-50.0,-2150.0
B,KXBTC-26APR0812-B61850,2026-04-08T16:00:00+00:00,below,61850.0,71608.27,168.0,0.01,0.1844,0.1744,50.0,False,-50.0,0.0,-50.0,-2150.0
AB,KXBTC-26APR0812-B61850,2026-04-08T16:00:00+00:00,below,61850.0,71608.27,168.0,0.01,0.2263,0.2163,50.0,False,-50.0,0.0,-50.0,-2150.0
