strategy,market_ticker,close_time,side,strike,spot_at_open,hours_to_expiry,market_implied_prob,fair_prob,edge,position_size,won,gross_pnl,kalshi_fee,net_pnl,cum_pnl
A,KXBTC-26APR0912-B71950,2026-04-09T16:00:00+00:00,below,71950.0,72096.47,168.0,0.06,0.553,0.493,50.0,False,-50.0,0.0,-50.0,-50.0
B,KXBTC-26APR0912-B71950,2026-04-09T16:00:00+00:00,below,71950.0,72096.47,168.0,0.06,0.4766,0.4166,50.0,False,-50.0,0.0,-50.0,-50.0
AB,KXBTC-26APR0912-B71950,2026-04-09T16:00:00+00:00,below,71950.0,72096.47,168.0,0.06,0.4957,0.4357,50.0,False,-50.0,0.0,-50.0,-50.0
A,KXBTC-26APR0907-B71150,2026-04-09T11:00:00+00:00,below,71150.0,71152.8,168.0,0.19,0.5559,0.3659,50.0,False,-50.0,0.0,-50.0,-100.0
B,KXBTC-26APR0907-B71150,2026-04-09T11:00:00+00:00,below,71150.0,71152.8,168.0,0.19,0.4961,0.3061,50.0,False,-50.0,0.0,-50.0,-100.0
AB,KXBTC-26APR0907-B71150,2026-04-09T11:00:00+00:00,below,71150.0,71152.8,168.0,0.19,0.5111,0.3211,50.0,False,-50.0,0.0,-50.0,-100.0
A,KXBTC-26APR0913-B72150,2026-04-09T17:00:00+00:00,below,72150.0,72359.99,168.0,0.07,0.5518,0.4818,50.0,False,-50.0,0.0,-50.0,-150.0
B,KXBTC-26APR0913-B72150,2026-04-09T17:00:00+00:00,below,72150.0,72359.99,168.0,0.07,0.4726,0.4026,50.0,False,-50.0,0.0,-50.0,-150.0
AB,KXBTC-26APR0913-B72150,2026-04-09T17:00:00+00:00,below,72150.0,72359.99,168.0,0.07,0.4924,0.4224,50.0,False,-50.0,0.0,-50.0,-150.0
A,KXBTC-26APR0922-B71950,2026-04-10T02:00:00+00:00,below,71950.0,71968.13,168.0,0.09,0.5556,0.4656,50.0,False,-50.0,0.0,-50.0,-200.0
B,KXBTC-26APR0922-B71950,2026-04-10T02:00:00+00:00,below,71950.0,71968.13,168.0,0.09,0.4776,0.3876,50.0,False,-50.0,0.0,-50.0,-200.0
AB,KXBTC-26APR0922-B71950,2026-04-10T02:00:00+00:00,below,71950.0,71968.13,168.0,0.09,0.4971,0.4071,50.0,False,-50.0,0.0,-50.0,-200.0
A,KXBTC-26APR1012-B72350,2026-04-10T16:00:00+00:00,below,72350.0,73021.3,168.0,0.07,0.5433,0.4733,50.0,False,-50.0,0.0,-50.0,-250.0
B,KXBTC-26APR1012-B72350,2026-04-10T16:00:00+00:00,below,72350.0,73021.3,168.0,0.07,0.4468,0.3768,50.0,False,-50.0,0.0,-50.0,-250.0
AB,KXBTC-26APR1012-B72350,2026-04-10T16:00:00+00:00,below,72350.0,73021.3,168.0,0.07,0.4709,0.4009,50.0,False,-50.0,0.0,-50.0,-250.0
A,KXBTC-26APR1015-B73050,2026-04-10T19:00:00+00:00,below,73050.0,73286.01,168.0,0.08,0.5516,0.4716,50.0,False,-50.0,0.0,-50.0,-300.0
B,KXBTC-26APR1015-B73050,2026-04-10T19:00:00+00:00,below,73050.0,73286.01,168.0,0.08,0.4658,0.3858,50.0,False,-50.0,0.0,-50.0,-300.0
AB,KXBTC-26APR1015-B73050,2026-04-10T19:00:00+00:00,below,73050.0,73286.01,168.0,0.08,0.4872,0.4072,50.0,False,-50.0,0.0,-50.0,-300.0
A,KXBTC-26APR1007-B72150,2026-04-10T11:00:00+00:00,below,72150.0,72147.83,168.0,0.19,0.5561,0.3661,50.0,False,-50.0,0.0,-50.0,-350.0
B,KXBTC-26APR1007-B72150,2026-04-10T11:00:00+00:00,below,72150.0,72147.83,168.0,0.19,0.4745,0.2845,50.0,False,-50.0,0.0,-50.0,-350.0
AB,KXBTC-26APR1007-B72150,2026-04-10T11:00:00+00:00,below,72150.0,72147.83,168.0,0.19,0.4949,0.3049,50.0,False,-50.0,0.0,-50.0,-350.0
A,KXBTC-26APR0920-B71950,2026-04-10T00:00:00+00:00,below,71950.0,71977.66,168.0,0.24,0.5643,0.3243,50.0,False,-50.0,0.0,-50.0,-400.0
B,KXBTC-26APR0920-B71950,2026-04-10T00:00:00+00:00,below,71950.0,71977.66,168.0,0.24,0.5643,0.3243,50.0,False,-50.0,0.0,-50.0,-400.0
AB,KXBTC-26APR0920-B71950,2026-04-10T00:00:00+00:00,below,71950.0,71977.66,168.0,0.24,0.5643,0.3243,50.0,False,-50.0,0.0,-50.0,-400.0
A,KXBTC-26APR1108-B72850,2026-04-11T12:00:00+00:00,below,72850.0,72972.81,168.0,0.05,0.5526,0.5026,50.0,False,-50.0,0.0,-50.0,-450.0
B,KXBTC-26APR1108-B72850,2026-04-11T12:00:00+00:00,below,72850.0,72972.81,168.0,0.05,0.4709,0.4209,50.0,False,-50.0,0.0,-50.0,-450.0
AB,KXBTC-26APR1108-B72850,2026-04-11T12:00:00+00:00,below,72850.0,72972.81,168.0,0.05,0.4914,0.4414,50.0,False,-50.0,0.0,-50.0,-450.0
A,KXBTC-26APR1109-B73150,2026-04-11T13:00:00+00:00,below,73150.0,72690.13,168.0,0.48,0.5639,0.0839,50.0,False,-50.0,0.0,-50.0,-500.0
A,KXBTC-26APR1201-B71550,2026-04-12T05:00:00+00:00,below,71550.0,71730.02,168.0,0.06,0.5507,0.4907,50.0,False,-50.0,0.0,-50.0,-550.0
B,KXBTC-26APR1201-B71550,2026-04-12T05:00:00+00:00,below,71550.0,71730.02,168.0,0.06,0.4828,0.4228,50.0,False,-50.0,0.0,-50.0,-500.0
AB,KXBTC-26APR1201-B71550,2026-04-12T05:00:00+00:00,below,71550.0,71730.02,168.0,0.06,0.4998,0.4398,50.0,False,-50.0,0.0,-50.0,-500.0
A,KXBTC-26APR1312-B72150,2026-04-13T16:00:00+00:00,below,72150.0,72250.0,168.0,0.075,0.5529,0.4779,50.0,False,-50.0,0.0,-50.0,-600.0
B,KXBTC-26APR1312-B72150,2026-04-13T16:00:00+00:00,below,72150.0,72250.0,168.0,0.075,0.4858,0.4108,50.0,False,-50.0,0.0,-50.0,-550.0
AB,KXBTC-26APR1312-B72150,2026-04-13T16:00:00+00:00,below,72150.0,72250.0,168.0,0.075,0.5026,0.4276,50.0,False,-50.0,0.0,-50.0,-550.0
A,KXBTC-26APR1415-B73950,2026-04-14T19:00:00+00:00,below,73950.0,74299.83,168.0,0.22,0.549,0.329,50.0,False,-50.0,0.0,-50.0,-650.0
B,KXBTC-26APR1415-B73950,2026-04-14T19:00:00+00:00,below,73950.0,74299.83,168.0,0.22,0.4603,0.2403,50.0,False,-50.0,0.0,-50.0,-600.0
AB,KXBTC-26APR1415-B73950,2026-04-14T19:00:00+00:00,below,73950.0,74299.83,168.0,0.22,0.4825,0.2625,50.0,False,-50.0,0.0,-50.0,-600.0
